patch_radius_mm,inhibition_scale,outcome,right_spikes,upper_flank_spikes,lower_flank_spikes
0.350,0.400,splits,96,65,155
0.350,0.480,splits,68,43,56
0.350,0.560,dies,0,0,0
0.350,0.640,dies,0,0,0
0.350,0.720,dies,0,0,0
0.550,0.400,splits,94,69,171
0.550,0.480,splits,68,54,63
0.550,0.560,dies,0,0,0
0.550,0.640,dies,0,0,0
0.550,0.720,dies,0,0,0
0.750,0.400,splits,95,76,174
0.750,0.480,bends,18,3,60
0.750,0.560,dies,0,0,0
0.750,0.640,dies,0,0,0
0.750,0.720,dies,0,0,0
0.950,0.400,splits,95,80,153
0.950,0.480,bends,18,1,60
0.950,0.560,dies,0,0,2
0.950,0.640,dies,0,0,0
0.950,0.720,dies,0,0,0
1.150,0.400,splits,69,59,66
1.150,0.480,bends,18,1,56
1.150,0.560,dies,0,0,5
1.150,0.640,dies,0,0,0
1.150,0.720,dies,0,0,0
