condition,radius_mm,inhibition_strength,source_arrival_ms,pre_arrival_ms,upper_arrival_ms,lower_arrival_ms,wake_arrival_ms,far_arrival_ms,far_peak_fraction,upper_peak_fraction,lower_peak_fraction,wake_peak_fraction,transmission_ratio,control_far_peak_fraction,outcome
0,0.0,0.8999999761581421,6.2,40.800000000000004,48.400000000000006,48.400000000000006,50.2,71.60000000000001,0.015277777777777777,0.014141414314508438,0.014141414314508438,0.03333333507180214,1.0,0.015277777777777777,control
1,0.0,1.0,6.2,40.0,46.400000000000006,46.400000000000006,50.0,70.2,0.015277777777777777,0.016161616891622543,0.016161616891622543,0.03333333507180214,1.0,0.015277777777777777,control
2,0.0,1.100000023841858,6.2,40.2,48.2,48.2,50.0,72.60000000000001,0.0125,0.012121211737394333,0.012121211737394333,0.03333333507180214,1.0,0.0125,control
3,0.0,1.2000000476837158,6.2,40.6,48.800000000000004,48.800000000000004,50.400000000000006,77.4,0.011111111111111112,0.012121211737394333,0.012121211737394333,0.03333333507180214,1.0,0.011111111111111112,control
4,0.0,1.2999999523162842,6.2,42.2,52.2,52.2,52.800000000000004,80.4,0.011111111111111112,0.014141414314508438,0.014141414314508438,0.02500000037252903,1.0,0.011111111111111112,control
5,0.1599999964237213,0.8999999761581421,6.2,40.800000000000004,47.2,47.2,59.6,73.8,0.022222222222222223,0.01600000075995922,0.01600000075995922,0.0416666679084301,1.4545454545454546,0.015277777777777777,bends
6,0.1599999964237213,1.0,6.2,40.0,44.400000000000006,44.400000000000006,57.6,72.0,0.020833333333333332,0.01600000075995922,0.01600000075995922,0.0416666679084301,1.3636363636363635,0.015277777777777777,bends
7,0.1599999964237213,1.100000023841858,6.2,40.2,48.6,48.6,59.800000000000004,74.60000000000001,0.020833333333333332,0.013333333656191826,0.013333333656191826,0.0416666679084301,1.6666666666666665,0.0125,bends
8,0.1599999964237213,1.2000000476837158,6.2,40.6,52.2,52.2,61.400000000000006,77.4,0.013888888888888888,0.013333333656191826,0.013333333656191826,0.0416666679084301,1.2499999999999998,0.011111111111111112,bends
9,0.1599999964237213,1.2999999523162842,6.2,42.2,55.800000000000004,55.800000000000004,64.4,80.4,0.015277777777777777,0.013333333656191826,0.013333333656191826,0.0416666679084301,1.375,0.011111111111111112,bends
10,0.2800000011920929,0.8999999761581421,6.2,40.800000000000004,52.400000000000006,52.400000000000006,66.60000000000001,76.2,0.02638888888888889,0.012631579302251339,0.012631579302251339,0.05000000074505806,1.7272727272727273,0.015277777777777777,bends
11,0.2800000011920929,1.0,6.2,40.0,49.0,49.0,64.0,74.4,0.022222222222222223,0.013333333656191826,0.013333333656191826,0.05000000074505806,1.4545454545454546,0.015277777777777777,splits
12,0.2800000011920929,1.100000023841858,6.2,40.2,52.6,52.6,66.4,76.80000000000001,0.02361111111111111,0.013333333656191826,0.013333333656191826,0.05000000074505806,1.8888888888888888,0.0125,bends
13,0.2800000011920929,1.2000000476837158,6.2,40.6,55.800000000000004,55.800000000000004,68.2,78.80000000000001,0.020833333333333332,0.011228070594370365,0.011228070594370365,0.05000000074505806,1.8749999999999998,0.011111111111111112,bends
14,0.2800000011920929,1.2999999523162842,6.2,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,dies
15,0.4000000059604645,0.8999999761581421,6.2,46.800000000000004,50.800000000000004,50.800000000000004,76.2,79.80000000000001,0.03194444444444444,0.01006289292126894,0.01006289292126894,0.05000000074505806,2.090909090909091,0.015277777777777777,splits
16,0.4000000059604645,1.0,6.2,40.800000000000004,48.6,48.6,73.0,77.4,0.030555555555555555,0.01006289292126894,0.01006289292126894,0.05000000074505806,2.0,0.015277777777777777,splits
17,0.4000000059604645,1.100000023841858,6.2,47.6,52.0,52.0,76.4,81.0,0.029166666666666667,0.010691823437809944,0.010691823437809944,0.05000000074505806,2.333333333333333,0.0125,splits
18,0.4000000059604645,1.2000000476837158,6.2,49.400000000000006,54.800000000000004,54.800000000000004,78.4,83.60000000000001,0.027777777777777776,0.01006289292126894,0.01006289292126894,0.05000000074505806,2.4999999999999996,0.011111111111111112,splits
19,0.4000000059604645,1.2999999523162842,6.2,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,dies
20,0.5199999809265137,0.8999999761581421,6.2,50.0,52.0,52.0,81.80000000000001,82.2,0.02361111111111111,0.009009009227156639,0.009009009227156639,0.04444444552063942,1.5454545454545454,0.015277777777777777,splits
21,0.5199999809265137,1.0,6.2,46.6,48.400000000000006,48.400000000000006,78.80000000000001,79.2,0.02638888888888889,0.008408408612012863,0.008408408612012863,0.03888889029622078,1.7272727272727273,0.015277777777777777,splits
22,0.5199999809265137,1.100000023841858,6.2,50.0,51.800000000000004,51.800000000000004,82.4,83.2,0.02361111111111111,0.007807807996869087,0.007807807996869087,0.03888889029622078,1.8888888888888888,0.0125,splits
23,0.5199999809265137,1.2000000476837158,6.2,nan,nan,nan,nan,nan,0.0,0.0006006006151437759,0.0006006006151437759,0.0,0.0,0.011111111111111112,dies
24,0.5199999809265137,1.2999999523162842,6.2,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,dies
