coupling,mean_avalanche_size,susceptibility,unstable_fraction,stable_realizations,mean_total_spikes
0.5,6.0,1.5128205128205128,0.0,16,10.125
0.55,5.892857142857143,1.5378226711560046,0.0,16,10.3125
0.6,6.32258064516129,2.4187074829931974,0.0,16,12.25
0.625,10.806451612903226,58.702089552238796,0.0,16,20.9375
0.65,50.75,571.7768949626569,0.0625,15,758.6875
0.675,172.2941176470588,1162.1661752382136,0.0625,15,1140.4375
0.7,218.0,1250.7831192660549,0.1875,13,2318.625
0.72,425.85714285714283,1602.9701193981643,0.0625,15,1826.75
0.73,621.2758620689655,1641.8073525797063,0.0,16,1126.0625
0.74,779.0357142857143,1866.8739963086914,0.0625,15,2076.8125
0.745,671.1612903225806,1913.1968598801632,0.0625,15,2593.5625
0.75,844.8709677419355,2089.730286485179,0.0,16,1636.9375
0.755,861.5416666666666,1958.0662382693652,0.1875,13,5170.0625
0.76,936.8695652173913,1999.2803761580915,0.1875,13,5361.875
0.77,1167.7391304347825,2037.595908447797,0.125,14,5093.5
0.78,1402.304347826087,2145.0727599687693,0.125,14,5891.1875
0.8,2148.222222222222,2474.560159183152,0.25,12,11118.125
0.825,2852.6428571428573,3417.7615841103593,0.375,10,16957.4375
0.85,3640.1111111111113,3348.4025594456825,0.625,6,32274.8125
0.9,10682.0,nan,0.9375,1,69983.4375
