regime,corr_low,corr_high,corr_center,n,mean_influence,sem_influence
inhibition_dominant,-1.0,-0.35,-0.675,0,,
inhibition_dominant,-0.35,0.0,-0.175,0,,
inhibition_dominant,0.0,0.35,0.175,0,,
inhibition_dominant,0.35,0.65,0.5,0,,
inhibition_dominant,0.65,0.85,0.75,0,,
inhibition_dominant,0.85,1.0,0.925,79,-0.10223277074542896,0.0020248359456446993
broad_inhibition,-1.0,-0.35,-0.675,0,,
broad_inhibition,-0.35,0.0,-0.175,0,,
broad_inhibition,0.0,0.35,0.175,0,,
broad_inhibition,0.35,0.65,0.5,0,,
broad_inhibition,0.65,0.85,0.75,0,,
broad_inhibition,0.85,1.0,0.925,79,-0.10205696202531646,0.0021799458765554103
specific_strong_ei,-1.0,-0.35,-0.675,0,,
specific_strong_ei,-0.35,0.0,-0.175,0,,
specific_strong_ei,0.0,0.35,0.175,0,,
specific_strong_ei,0.35,0.65,0.5,0,,
specific_strong_ei,0.65,0.85,0.75,0,,
specific_strong_ei,0.85,1.0,0.925,79,-0.10188115330520393,0.002163249279461522
