neuron,cortical_distance_um,rf_distance_deg,orientation_difference_deg,signal_correlation,direct_connection_mA,influence
0.000000000000000000e+00,2.383265205946481160e+02,1.363354358730665972e+01,8.764410340912613151e+01,-6.627622728418987030e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.995682856374317566e+02,8.858119729731001257e+00,4.437197201363628274e+00,9.764036540772508266e-01,0.000000000000000000e+00,2.314814814814814686e-03
2.000000000000000000e+00,2.903555108993664930e+02,5.330833831284397029e+00,3.171977791027778437e+01,3.910088006934183125e-01,0.000000000000000000e+00,-4.629629629629629373e-03
3.000000000000000000e+00,1.170029904321320799e+02,1.140820276205708694e+01,2.441840568904283160e+01,5.091019258673691317e-01,0.000000000000000000e+00,6.944444444444444059e-03
4.000000000000000000e+00,2.198470712637875408e+02,8.054186449942392301e+00,2.435114809752028009e+01,5.076176550648056063e-01,0.000000000000000000e+00,-2.314814814814814686e-03
5.000000000000000000e+00,1.893039831041733976e+02,9.927563101462659745e+00,5.232791530732811935e+01,1.508361117626210723e-01,0.000000000000000000e+00,2.777777777777778317e-03
6.000000000000000000e+00,1.490864217955835329e+02,5.890731212388676141e+00,4.208630062862651044e+01,-3.019395484005286609e-02,0.000000000000000000e+00,-2.314814814814814686e-03
7.000000000000000000e+00,2.216361092453623201e+02,3.411675618566181178e+00,5.820183037945901816e+01,-3.676838698590725873e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,3.058651812200500331e+02,6.583900008185007202e+00,1.534115402496076008e+01,7.093821267551404519e-01,0.000000000000000000e+00,2.314814814814814686e-03
9.000000000000000000e+00,6.528653703124240337e+01,1.364287634297168950e+01,8.265867207789289850e+00,8.133830006323754525e-01,0.000000000000000000e+00,9.391534391534389972e-03
1.000000000000000000e+01,3.256265235031567045e+02,2.212311508853133546e+00,8.147007856991423580e+01,-7.106451040843795308e-01,0.000000000000000000e+00,1.851851851851851055e-03
1.100000000000000000e+01,1.145224823490998176e+02,9.949218221628525427e+00,2.067686264057391199e+01,5.759272734796401227e-01,0.000000000000000000e+00,1.078042328042327740e-02
1.200000000000000000e+01,3.299675889110393996e+02,1.300173458162730000e+01,1.269524507343259678e+01,7.726242543405248409e-01,0.000000000000000000e+00,-4.629629629629632517e-04
1.300000000000000000e+01,2.243793736209240137e+02,1.619753290541666502e+01,7.692679838426109029e+00,7.211024342588987501e-01,0.000000000000000000e+00,-4.166666666666665741e-03
1.400000000000000000e+01,1.094382302698947740e+02,1.185766761071837472e+01,2.262451173649873937e+01,5.924247698764588677e-01,0.000000000000000000e+00,-2.777777777777777884e-03
1.500000000000000000e+01,1.705204120262492040e+02,9.059690418397684297e+00,7.618399313827711694e+01,-5.762989054532272615e-01,0.000000000000000000e+00,7.709882115452475547e-19
1.600000000000000000e+01,2.598182002170140663e+02,6.231853520038897365e+00,5.242055241215178540e+01,-2.553293767077286502e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.219183966686634903e+02,1.415001723079884144e+01,5.096530445192594527e+01,-3.811242801653489942e-01,0.000000000000000000e+00,1.150793650793650869e-02
1.800000000000000000e+01,2.035184334263782659e+02,9.105395865798573851e+00,2.939036544802254625e+01,3.290128743530741362e-01,0.000000000000000000e+00,-1.157407407407407343e-02
1.900000000000000000e+01,1.501753231622812166e+02,1.324400705675676804e+01,8.537560309657257562e+01,-6.593748583810519204e-01,0.000000000000000000e+00,-4.629629629629629373e-03
2.000000000000000000e+01,3.112547895314581865e+02,3.763910334088317544e+00,1.293966699395535969e+01,8.164224770042798340e-01,0.000000000000000000e+00,-6.944444444444444059e-03
2.100000000000000000e+01,2.216803732727081524e+02,6.396373819888276024e+00,6.253412691705815263e+01,-3.907996740076039588e-01,0.000000000000000000e+00,-4.629629629629629373e-03
2.200000000000000000e+01,1.235455526461228288e+02,9.508053031429861690e+00,7.869092352211835362e+01,-5.347283972540990415e-01,0.000000000000000000e+00,7.076719576719576153e-03
2.300000000000000000e+01,2.551770959064248245e+02,1.044517367586004220e+01,2.953460802222235415e+01,2.951863140230747140e-01,6.462310632565618218e-02,4.629629629629629373e-03
2.400000000000000000e+01,1.418963398240701679e+02,7.045413622614199234e+00,1.149145347065038258e+01,8.113960002184474885e-01,0.000000000000000000e+00,4.761904761904762334e-03
2.500000000000000000e+01,1.955370007825661389e+02,8.426922729516055810e+00,4.056695443660335343e+01,1.718960605393024879e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,2.064462781312065829e+02,1.168729254218844771e+00,3.414773552800444634e+01,3.799409255775293981e-01,0.000000000000000000e+00,-5.092592592592593004e-03
2.700000000000000000e+01,1.605000003827276203e+02,1.337184766757772181e+01,7.193350354162393501e+01,-4.937349640229004022e-01,0.000000000000000000e+00,6.150793650793650626e-03
2.800000000000000000e+01,2.444026621465058327e+02,1.614471378706702254e+01,1.994096379571915767e+00,5.880141702388310687e-01,0.000000000000000000e+00,4.298941798941798703e-03
2.900000000000000000e+01,2.232856002000026194e+02,4.804947280425656331e+00,6.766197215861166114e+01,-6.214495305156958471e-01,0.000000000000000000e+00,2.314814814814814686e-03
3.000000000000000000e+01,2.204298083980217200e+02,9.155848663954650135e+00,2.835719762448033698e+00,7.791721167009447724e-01,0.000000000000000000e+00,4.761904761904762334e-03
3.100000000000000000e+01,1.765469971441934831e+02,7.721967831707860164e+00,3.231839385676768472e+01,4.816561748629034634e-01,0.000000000000000000e+00,-1.984126984126984017e-03
3.200000000000000000e+01,2.049790135346493400e+02,3.107798445864881298e+00,3.993158906737225067e+01,3.786101460492443532e-02,0.000000000000000000e+00,4.629629629629632517e-04
3.300000000000000000e+01,1.162182684447337948e+02,7.746846673198133360e+00,1.404754456224944903e+01,5.990492713435597860e-01,0.000000000000000000e+00,-5.555555555555555768e-03
3.400000000000000000e+01,1.029420578146596483e+02,7.350546182391195060e+00,1.213678010439537047e+01,7.606377303005588120e-01,0.000000000000000000e+00,3.108465608465608553e-03
3.500000000000000000e+01,1.963954505554787033e+02,6.612452926313172163e+00,3.512403890006716978e+01,2.204117833810831095e-01,1.078674748946515660e-01,2.314814814814814686e-03
3.600000000000000000e+01,1.944487759124985189e+02,1.498989741401374154e+01,5.312499689033026584e+01,-8.715840499887964055e-02,0.000000000000000000e+00,1.322751322751325822e-04
3.700000000000000000e+01,3.332801852157084568e+02,4.957708887851180357e+00,1.670378183715943976e+01,7.289391131066687013e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-9.523809523809524669e-03
3.900000000000000000e+01,3.365438744280368155e+02,1.817276553941717276e+00,7.710104531220881796e+00,9.159063229694217600e-01,0.000000000000000000e+00,-2.314814814814814686e-03
4.000000000000000000e+01,3.315328396689632200e+02,3.461338792147832688e+00,1.010968189554556851e+01,8.344477307443995961e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.198389418788044054e+02,8.461421666360957161e+00,1.920371270218684145e+01,6.223804147841452972e-01,0.000000000000000000e+00,2.645502645502643621e-03
4.200000000000000000e+01,1.885077103212079521e+02,2.532617783153742419e+00,2.242112086243839997e+01,5.574941235368061632e-01,0.000000000000000000e+00,2.447089947089947214e-03
4.300000000000000000e+01,2.802187180716056218e+02,1.590838612898278903e+01,4.637850667613751909e+01,9.852720080197298336e-02,0.000000000000000000e+00,2.314814814814814686e-03
4.400000000000000000e+01,1.543584047960653436e+02,1.366433392229198596e+01,5.702474948085401962e+01,-3.637621048536078261e-01,0.000000000000000000e+00,-4.629629629629629373e-03
4.500000000000000000e+01,1.481242949401469389e+02,6.237717569903725057e+00,6.081645312494155320e+01,-7.740987969058778229e-02,0.000000000000000000e+00,2.314814814814814686e-03
4.600000000000000000e+01,2.876081948858235933e+02,2.567123602337244570e+00,8.089497288777598882e+00,9.405160213402284919e-01,0.000000000000000000e+00,-2.314814814814814686e-03
4.700000000000000000e+01,2.283750985746609672e+02,1.165509930153010565e+01,6.205098964330924360e+01,-2.877504404613457356e-01,0.000000000000000000e+00,9.722222222222222376e-03
4.800000000000000000e+01,7.699912376768594413e+01,9.598432289554631680e+00,6.227143298230505764e+01,-1.565751064187350938e-01,0.000000000000000000e+00,-3.306878306878306695e-04
4.900000000000000000e+01,1.743902394415516142e+02,4.338321323545187624e+00,7.816033194750366420e+01,-7.056242639524047400e-01,0.000000000000000000e+00,-4.629629629629632517e-04
5.000000000000000000e+01,1.924174225679971073e+02,7.089082500944376086e+00,2.252568054342691539e+01,4.526065344878608676e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,1.728759037084722081e+02,7.732766543620434696e+00,3.832228081724434077e+01,5.595149293199649931e-02,0.000000000000000000e+00,-4.629629629629629373e-03
5.200000000000000000e+01,2.723330960940664909e+02,4.343416170774702323e+00,7.785709663537788572e+01,-5.910070688744285539e-01,2.925955405458153386e-02,0.000000000000000000e+00
5.300000000000000000e+01,1.304963585716628529e+02,1.357673785340121064e+01,7.444238125557214403e+01,-6.738537469743596242e-01,0.000000000000000000e+00,-6.613756613756613389e-03
5.400000000000000000e+01,1.696425540681471489e+02,7.059761386231674152e+00,8.664063549663212882e+01,-4.731715677990789293e-01,0.000000000000000000e+00,4.761904761904762334e-03
5.500000000000000000e+01,2.819396387180755710e+02,5.834054852982128558e+00,7.045836377576297593e+01,-5.240398741019433038e-01,2.981859431011384468e-02,4.166666666666665741e-03
5.600000000000000000e+01,2.079218587107095289e+02,1.291314521233943324e+01,6.012395267712804525e+01,-3.118621365839941983e-01,0.000000000000000000e+00,-4.761904761904762334e-03
5.700000000000000000e+01,1.994706412751133939e+02,2.293491973843692300e+00,4.932052909596022516e+01,-2.100206573135547095e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+01,2.872800799457916128e+02,1.364647284180092335e+01,6.573817861032770793e+01,-4.726838626693707912e-01,0.000000000000000000e+00,-4.629629629629629373e-03
5.900000000000000000e+01,1.013152721764318898e+02,3.021083987238916801e+00,1.833827419945891890e+01,6.357193351390900693e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.734726052204065354e+02,1.423677603031899253e+01,5.487239706700052011e+01,-3.196101869036692689e-01,0.000000000000000000e+00,2.314814814814814686e-03
6.100000000000000000e+01,1.145302597520689574e+02,1.097417816581256211e+01,7.672550070721260340e+01,-3.066890363011201548e-01,0.000000000000000000e+00,-4.629629629629629373e-03
6.200000000000000000e+01,1.771958002987585132e+02,1.167646280981225715e+01,2.053176882929616198e+01,6.296947586907947203e-01,1.289211713405115367e-01,0.000000000000000000e+00
6.300000000000000000e+01,1.988890143019814900e+02,1.157330664284179988e+01,3.541088471360800582e+01,1.489862650119432030e-01,0.000000000000000000e+00,4.960317460317460042e-03
6.400000000000000000e+01,1.963255097792969934e+02,6.173560817052416994e+00,8.672729696912284680e+01,-6.888705747160441817e-01,0.000000000000000000e+00,2.314814814814814686e-03
6.500000000000000000e+01,3.114957465160822494e+02,6.027367651578592778e+00,2.765635402504357998e+01,4.449824527880916758e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000000e+01,9.634460599851084339e+01,1.498102679704222417e+01,6.498254988998030512e+01,-4.006472619342347774e-01,0.000000000000000000e+00,2.314814814814814686e-03
6.700000000000000000e+01,9.543026470290821806e+01,1.313134137156173686e+01,8.651789089519267861e+01,-6.002720402921873921e-01,0.000000000000000000e+00,4.761904761904762334e-03
6.800000000000000000e+01,4.721376407607764492e+01,8.741288524022337469e+00,2.448246118165709007e+01,4.917970987090943269e-01,4.013049960968977925e-01,5.423280423280423673e-03
6.900000000000000000e+01,5.655182805194144890e+01,8.860846534710880462e+00,2.239301480171403824e+01,4.948686329111944282e-01,3.767781625016697333e-01,1.911375661375661755e-02
7.000000000000000000e+01,1.898367359704496948e+02,8.024314939342980679e+00,3.228336396262891128e+01,3.481531730924965484e-01,0.000000000000000000e+00,-1.984126984126984451e-03
7.100000000000000000e+01,8.224107305245706812e+01,5.772996474058515126e+00,2.499162140643297647e+01,5.465699645013587515e-01,3.176407682786422937e-01,8.597883597883597406e-03
7.200000000000000000e+01,2.213995519021133305e+02,1.062468054427629127e+01,4.160480659055399855e+01,6.077691810051392279e-02,0.000000000000000000e+00,-7.076719576719576153e-03
7.300000000000000000e+01,1.048823367379264937e+02,1.057705610723343526e+01,8.392814892721158060e+01,-4.598036547642901928e-01,0.000000000000000000e+00,9.722222222222222376e-03
7.400000000000000000e+01,1.373173615715633673e+02,8.050254692236968879e+00,4.093572421037011821e+01,-4.393222093597925343e-02,0.000000000000000000e+00,-4.629629629629629373e-03
7.500000000000000000e+01,1.733801739669997914e+02,1.112175134129837240e+01,4.454683900119282214e+01,1.020152896875960447e-01,0.000000000000000000e+00,2.314814814814814686e-03
7.600000000000000000e+01,1.043545086809011195e+02,7.456104495826419765e+00,2.185998865358532939e+01,5.295160860873588948e-01,0.000000000000000000e+00,-5.092592592592593004e-03
7.700000000000000000e+01,3.409151543815541459e+02,1.236082516103014761e+01,3.980412799634774501e+01,1.422908087522829212e-01,2.669508598406444833e-02,0.000000000000000000e+00
7.800000000000000000e+01,6.608534304240774304e+01,5.343147965025884183e+00,4.573663537146780556e+01,-2.504812287248884273e-01,0.000000000000000000e+00,1.190476190476190584e-03
7.900000000000000000e+01,1.395625787941579290e+02,9.616087075966158082e+00,6.064517020621281773e+01,-3.095067243507995114e-01,0.000000000000000000e+00,4.629629629629632517e-04
8.000000000000000000e+01,3.081685074667137769e+02,3.409396387396471440e+00,7.607389533612698074e+01,-5.032485347952140309e-01,0.000000000000000000e+00,6.944444444444444059e-03
8.100000000000000000e+01,2.076572245157690872e+02,8.504614434669965917e+00,4.750422086190516779e+01,-7.629338236169004583e-02,0.000000000000000000e+00,4.761904761904762334e-03
8.200000000000000000e+01,3.469535871747321920e+01,5.145504707555143220e+00,5.282748493420645985e+01,-2.324473893096159482e-01,0.000000000000000000e+00,1.851851851851851489e-03
8.300000000000000000e+01,2.675532683933575413e+02,1.006307377388544211e+01,6.842771019178084657e+01,-5.190149802757610953e-01,0.000000000000000000e+00,2.447089947089947214e-03
8.400000000000000000e+01,3.897324335919645932e+01,1.159481030778611554e+01,5.053762003263187097e+01,-3.281558280398021998e-01,0.000000000000000000e+00,7.275132275132273861e-03
8.500000000000000000e+01,2.168341750643868693e+02,7.169873499173689879e+00,2.374101531679672306e+01,5.113508993326708607e-01,0.000000000000000000e+00,2.777777777777778317e-03
8.600000000000000000e+01,1.963786936691167284e+02,3.237306778403478358e+00,1.020731418801812396e+01,8.364640902570041892e-01,0.000000000000000000e+00,2.314814814814814686e-03
8.700000000000000000e+01,1.728522183287715563e+02,1.412327755200335311e+01,2.756393494079811290e+01,6.119339133185655033e-01,0.000000000000000000e+00,1.851851851851851489e-03
8.800000000000000000e+01,1.912654334982506441e+02,6.808724872060064826e+00,2.622223659043716282e+01,5.236049651091067014e-01,0.000000000000000000e+00,-4.629629629629629373e-03
8.900000000000000000e+01,2.462042018378675152e+02,8.279116573678544810e+00,4.088324620142684296e+01,1.368820396498887093e-01,0.000000000000000000e+00,2.314814814814814686e-03
9.000000000000000000e+01,2.937276857571617370e+02,1.150682498406737331e+01,5.425163294268056546e+01,-3.032064458553824782e-01,0.000000000000000000e+00,-3.835978835978836373e-03
9.100000000000000000e+01,4.392560455212191783e+01,8.501369890068929180e+00,7.541246263533139427e+01,-5.372401238592681150e-01,0.000000000000000000e+00,-6.944444444444444059e-03
9.200000000000000000e+01,3.000881269789338148e+02,9.500574332409506439e+00,3.654575307832468667e+01,7.979030599007821967e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.300000000000000000e+01,2.434534099867473174e+02,6.236528833173941244e+00,7.980231729372678728e+01,-5.526473509519628236e-01,0.000000000000000000e+00,-1.111111111111110980e-02
9.400000000000000000e+01,1.259507518040211096e+02,9.822630955468545366e+00,8.262524469973780583e+01,-6.391075213703336644e-01,9.409473079114909211e-02,5.092592592592593004e-03
9.500000000000000000e+01,1.541637251179465409e+02,1.266840979960094948e+01,1.038550990141241925e+01,7.727633176935152504e-01,0.000000000000000000e+00,4.629629629629632517e-04
