ATF	1.0
8	11     
"AcquisitionMode=Episodic Stimulation"
"Comment="
"YTop=1000"
"YBottom=-1000"
"SyncTimeUnits=12.5"
"SweepStartTimesMS=0.000,3000.000,6000.000,9000.000,12000.000,15000.000,18000.000,21000.000,24000.000,27000.000"
"SignalsExported=V1prim"
"Signals="	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"
"Time (s)"	"Trace #1 (mV)"	"Trace #2 (mV)"	"Trace #3 (mV)"	"Trace #4 (mV)"	"Trace #5 (mV)"	"Trace #6 (mV)"	"Trace #7 (mV)"	"Trace #8 (mV)"	"Trace #9 (mV)"	"Trace #10 (mV)"
0	-29.5715	-29.3274	-29.9988	-29.6631	-29.9072	-29.1748	-29.0527	-28.4119	-29.0833	-29.1748
5e-5	-29.5715	-29.2664	-29.9683	-29.6326	-29.9072	-29.1748	-29.0833	-28.4119	-29.1138	-29.2358
1e-4	-29.602	-29.2664	-29.9988	-29.6326	-29.8767	-29.2053	-29.0833	-28.4119	-29.0833	-29.2053
1.5e-4	-29.602	-29.3274	-29.9988	-29.6326	-29.8767	-29.2664	-29.0833	-28.3813	-29.0833	-29.2053
2e-4	-29.602	-29.2664	-29.9683	-29.6326	-29.9072	-29.2053	-29.0527	-28.4424	-29.0833	-29.2664
2.5e-4	-29.541	-29.2969	-29.9683	-29.602	-29.9072	-29.2053	-29.0527	-28.3813	-29.0527	-29.2664
3e-4	-29.602	-29.2969	-29.9683	-29.6326	-29.9377	-29.2358	-29.0527	-28.4119	-29.0527	-29.2358
3.5e-4	-29.5715	-29.2969	-29.9988	-29.602	-29.9072	-29.2358	-29.0222	-28.4119	-29.0527	-29.2664
4e-4	-29.541	-29.2969	-29.9683	-29.6326	-29.9377	-29.2053	-29.0527	-28.4119	-29.0527	-29.2358
4.5e-4	-29.541	-29.2664	-29.9988	-29.602	-29.9072	-29.2358	-29.0833	-28.3813	-29.0833	-29.2358
5e-4	-29.602	-29.2664	-29.9377	-29.6326	-29.8767	-29.2358	-29.0833	-28.3813	-29.0833	-29.2053
5.5e-4	-29.541	-29.2664	-29.9377	-29.6326	-29.9072	-29.1748	-29.0833	-28.4119	-29.0833	-29.2053
6e-4	-29.5715	-29.2664	-29.9377	-29.6631	-29.8462	-29.1748	-29.0222	-28.3813	-29.0833	-29.2358
6.5e-4	-29.5715	-29.2969	-29.9683	-29.6631	-29.9072	-29.2358	-29.0527	-28.4119	-29.0833	-29.2358
7e-4	-29.541	-29.2664	-29.9988	-29.6326	-29.9072	-29.2358	-29.0222	-28.3813	-29.0833	-29.2358
7.5e-4	-29.5715	-29.2969	-29.9988	-29.6631	-29.9072	-29.2358	-29.0527	-28.4119	-29.0833	-29.2358
8e-4	-29.602	-29.2969	-29.9988	-29.6631	-29.8767	-29.2358	-29.0833	-28.3813	-29.0833	-29.2053
8.5e-4	-29.5715	-29.2969	-29.9683	-29.6936	-29.9072	-29.2358	-29.0833	-28.4424	-29.0527	-29.2053
9e-4	-29.5715	-29.2969	-30.0293	-29.6631	-29.8767	-29.2053	-29.1138	-28.4729	-29.0833	-29.2053
9.5e-4	-29.6326	-29.2664	-29.9988	-29.6631	-29.9072	-29.2664	-29.0833	-28.4119	-29.0527	-29.2053
