classified_state,dominant_frequency_hz,eta,exc_firing_rate_hz,exc_isi_cv_eligible_neurons,exc_isi_cv_mean,exc_isi_cv_median,expected_state,g,inh_firing_rate_hz,inh_isi_cv_eligible_neurons,inh_isi_cv_mean,inh_isi_cv_median,isi_cv_all_mean,overall_firing_rate_hz,population_rate_cv_1ms,repeat,repeat_seed,runtime_seconds,spectral_peak_to_background
synchronous_regular,625.0,2.0,312.49645,10000,0.000627006171271205,0.0,synchronous_regular,3.0,312.4964,2500,0.0005029569729231298,0.0,0.0006021963781677186,312.49644,0.7757278792469177,0,1729,914.0412592140001,5313060698.537175
fast_synchronous_irregular,173.33984375,4.0,60.9409,10000,0.9023146629333496,0.8928816318511963,fast_synchronous_irregular,6.0,60.8626,2500,0.904639482498169,0.8956886529922485,0.9027796387672424,60.92524,0.9823760029006051,0,1729,909.7142771139988,1021.2395576218752
synchronous_regular,130.615234375,2.0,37.7138,10000,0.4021928310394287,0.40035760402679443,asynchronous_irregular,5.0,37.7242,2500,0.4025716781616211,0.4005950689315796,0.40226858854293823,37.71588,0.5203798848664519,0,1729,647.3467818980007,60.722898240250416
inconclusive,20.751953125,0.9,5.54805,10000,0.6440621614456177,0.6232508420944214,slow_synchronous_irregular,4.5,5.5786,2498,0.6454586386680603,0.6246303915977478,0.6443412899971008,5.55416,1.9678353516069143,0,1729,1052.0090789839996,250.16812656175713
synchronous_regular,625.0,2.0,312.49655,10000,0.0006640697247348726,0.0,synchronous_regular,3.0,312.4968,2500,0.0006033175741322339,0.0,0.0006519193411804736,312.4966,0.7741073348983677,1,2718,1003.5944684759997,5144525639.662141
fast_synchronous_irregular,174.560546875,4.0,60.37605,10000,0.9104751944541931,0.9027355909347534,fast_synchronous_irregular,6.0,60.5244,2500,0.9173845648765564,0.908093273639679,0.9118571877479553,60.40572,0.9940704010854778,1,2718,1008.509849094,776.8206409146978
synchronous_regular,129.39453125,2.0,37.9277,10000,0.4056711792945862,0.4043317437171936,asynchronous_irregular,5.0,37.895,2500,0.40611764788627625,0.40485358238220215,0.4057604670524597,37.92116,0.541329693704136,1,2718,1147.8986272969996,62.81705083276435
inconclusive,21.97265625,0.9,5.6453,9999,0.6264995336532593,0.6079869866371155,slow_synchronous_irregular,4.5,5.6314,2500,0.6332504749298096,0.6137619018554688,0.627849817276001,5.64252,1.6178146967505689,1,2718,1046.3457253650013,210.24412332808646
synchronous_regular,625.0,2.0,312.49195,10000,0.0008565755560994148,0.0,synchronous_regular,3.0,312.4914,2500,0.0008042687550187111,0.0,0.0008461141842417419,312.49184,0.7753902621612667,2,3141,1091.551417270999,3553600598.5006638
fast_synchronous_irregular,172.119140625,4.0,60.7801,10000,0.9469969868659973,0.9358991384506226,fast_synchronous_irregular,6.0,60.8862,2500,0.9519942402839661,0.9409855604171753,0.9479963779449463,60.80132,1.009221987722797,2,3141,1357.3219711890015,1156.5548158421782
synchronous_regular,124.51171875,2.0,37.9426,10000,0.4043353796005249,0.40204155445098877,asynchronous_irregular,5.0,37.8974,2500,0.40488359332084656,0.40280649065971375,0.40444499254226685,37.93356,0.5190813691112228,2,3141,1046.1745705779977,79.78721931414613
inconclusive,23.193359375,0.9,5.73055,9999,0.6454415321350098,0.6268811821937561,slow_synchronous_irregular,4.5,5.7326,2500,0.6465433835983276,0.6285969018936157,0.6456619501113892,5.73096,1.7328036231187474,2,3141,909.2382117399975,389.8834279932873
synchronous_regular,625.0,2.0,312.497,10000,0.0005393275641836226,0.0,synchronous_regular,3.0,312.4964,2500,0.0006743762060068548,0.0,0.0005663372576236725,312.49688,0.7839392521075341,3,5772,1092.8593555859989,4734810113.634354
fast_synchronous_irregular,169.677734375,4.0,60.95135,10000,0.9350062608718872,0.9254405498504639,fast_synchronous_irregular,6.0,60.939,2500,0.9376156330108643,0.9250086545944214,0.9355280995368958,60.94888,1.012646361618558,3,5772,1300.1094605159997,993.2147268524096
synchronous_regular,137.939453125,2.0,38.0874,10000,0.40644371509552,0.40436434745788574,asynchronous_irregular,5.0,38.0174,2500,0.40881526470184326,0.40702617168426514,0.4069179594516754,38.0734,0.5428269358092029,3,5772,1063.3497357929991,59.076225245669065
inconclusive,20.751953125,0.9,5.5873,10000,0.6313217282295227,0.6110196113586426,slow_synchronous_irregular,4.5,5.578,2498,0.6267338991165161,0.6083426475524902,0.6304047703742981,5.58544,1.804605798182438,3,5772,934.5472457120013,323.52099641796195
synchronous_regular,625.0,2.0,312.49545,10000,0.0005562977166846395,0.0,synchronous_regular,3.0,312.4936,2500,0.0006116610020399094,0.0,0.0005673703853972256,312.49508,0.7811186852197399,4,8119,1139.1223144649994,5754165920.214217
fast_synchronous_irregular,173.33984375,4.0,60.8379,10000,0.9413588047027588,0.9307610988616943,fast_synchronous_irregular,6.0,60.8824,2500,0.9466878771781921,0.9364110231399536,0.9424247145652771,60.8468,1.0062763737785174,4,8119,1282.7705146010012,522.457417679992
synchronous_regular,123.291015625,2.0,37.83055,10000,0.4053323268890381,0.40356364846229553,asynchronous_irregular,5.0,37.8188,2500,0.4087095558643341,0.40726569294929504,0.4060077667236328,37.8282,0.5453556163502274,4,8119,1069.459971356002,70.8559301293792
inconclusive,24.4140625,0.9,5.2099,9997,0.6343096494674683,0.6128929853439331,slow_synchronous_irregular,4.5,5.2482,2498,0.6432452201843262,0.620695948600769,0.6360960602760315,5.21756,1.4282513359001194,4,8119,910.6393048540012,355.39983716178983
