run_id,seed,condition_id,g,eta,requested_regime,elapsed_seconds,mean_exc_rate_hz,mean_inh_rate_hz,mean_global_rate_hz,global_rate_cv,valid_isi_cv_fraction,median_isi_cv,dominant_frequency_hz,peak_prominence_ratio,narrowband_power_fraction,significant_narrowband_peak
seed-11_ai,11,ai,5.0,2.0,asynchronous irregular,1009.0668023670005,37.856275,37.8454,37.8541,0.688318796062094,1.0,0.4088282585144043,119.0,18.51658794896262,0.05161200762034264,True
seed-29_ai,29,ai,5.0,2.0,asynchronous irregular,1183.833380045,37.796425,37.7999,37.79712,0.7019383204552994,1.0,0.4099158048629761,121.0,28.2291368172867,0.05740189219865679,True
seed-47_ai,47,ai,5.0,2.0,asynchronous irregular,1300.3664342690008,37.8773,37.8744,37.87672,0.7012779933312581,1.0,0.4097423553466797,130.0,24.11601549522747,0.058631624560162465,True
seed-11_fsi,11,fsi,6.0,4.0,fast synchronous irregular,1239.4414148600008,59.27175,59.3833,59.29406000000001,1.0482680665984807,1.0,0.8079381585121155,184.0,231.24083840611863,0.2092694542122113,True
seed-29_fsi,29,fsi,6.0,4.0,fast synchronous irregular,2425.418766790999,59.233225,59.3158,59.24973999999999,1.027158155786458,1.0,0.7917386293411255,183.0,223.03096502944297,0.1952097638789435,True
seed-47_fsi,47,fsi,6.0,4.0,fast synchronous irregular,2440.542117331999,59.19705,59.2976,59.21716,1.036336271928854,1.0,0.7944635152816772,184.0,186.31625211205605,0.17024630414213776,True
seed-11_sr,11,sr,3.0,2.0,synchronous regular,1184.8018542549999,333.3719,333.3726,333.37203999999997,3.740424627576484,1.0,0.0,333.0,3823995.7718348852,0.9985545770655123,True
seed-29_sr,29,sr,3.0,2.0,synchronous regular,2051.1168671799987,333.367125,333.3662,333.36694,3.7441999565027184,1.0,0.0,333.0,73080372.11249118,0.9996369498366289,True
seed-47_sr,47,sr,3.0,2.0,synchronous regular,2106.383793215,333.35835,333.3533,333.35733999999997,3.768222745104027,1.0,0.0,333.0,579497154.594613,0.9997072160232272,True
seed-11_ssi,11,ssi,4.5,0.9,slow synchronous irregular,885.9466256119995,5.505675,5.5255,5.50964,2.2507290635779764,1.0,0.6727865934371948,22.0,240.27412154862165,0.13945207129293727,True
seed-29_ssi,29,ssi,4.5,0.9,slow synchronous irregular,1119.160239265002,5.557225,5.5679,5.559360000000001,2.271587018246839,1.0,0.6846668720245361,22.0,162.10348111999596,0.14960471896311314,True
seed-47_ssi,47,ssi,4.5,0.9,slow synchronous irregular,1076.8963081909988,5.737275,5.7156,5.73294,2.018365793260996,1.0,0.6803050637245178,21.0,232.27891856318948,0.17157696488397878,True
