seed,fraction,group,current_uA_cm2,n,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes,synaptic_g_mS_cm2,synaptic_inward_uA_cm2
1,0,all,120,40,62.349998474121094,-42.12202072143555,10.478853225708008,0.07212994992733002,13.087453842163086,0.0,0.26992711424827576,5.900000095367432,0.07522313296794891,3.118588924407959
1,0,control,120,40,62.349998474121094,-42.12202072143555,10.478853225708008,0.07212994992733002,13.087453842163086,0.0,0.26992711424827576,5.900000095367432,0.07522313296794891,3.118588924407959
1,0.1,all,120,40,55.75,-41.56867218017578,9.624472618103027,0.06886124610900879,13.081415176391602,0.1,0.27729517221450806,5.224999904632568,0.06775127351284027,2.781315803527832
1,0.1,KD,120,4,3.0,-36.25751876831055,0.1882268488407135,0.0344463475048542,12.792327880859375,1.0,0.3438228666782379,0.0,0.0799868106842041,2.8682971000671387
1,0.1,control,120,36,61.61111068725586,-42.15879821777344,10.672944068908691,0.0726851150393486,13.11353588104248,0.0,0.2699032127857208,5.80555534362793,0.06639176607131958,2.771651268005371
1,0.2,all,120,40,48.70000076293945,-40.997291564941406,8.69048023223877,0.06549837440252304,13.0638427734375,0.2,0.2852211594581604,4.574999809265137,0.0589769072830677,2.3754684925079346
1,0.2,KD,120,8,3.25,-36.29857635498047,0.2231147736310959,0.03456170856952667,12.792779922485352,1.0,0.34186601638793945,0.0,0.0666738897562027,2.3928308486938477
1,0.2,control,120,32,60.0625,-42.17197036743164,10.807320594787598,0.07323253899812698,13.131608009338379,0.0,0.27105990052223206,5.71875,0.05705266073346138,2.3711276054382324
1,0.3,all,120,40,44.5,-40.446659088134766,7.856081962585449,0.06156351417303085,13.034517288208008,0.275,0.29455915093421936,4.324999809265137,0.05764661356806755,2.296452045440674
1,0.3,KD,120,12,1.8333333730697632,-36.3571891784668,0.9709885120391846,0.035255368798971176,12.807099342346191,0.9166666666666666,0.34543299674987793,0.0,0.06272570043802261,2.2755680084228516
1,0.3,control,120,28,62.78571319580078,-42.19929122924805,10.80683422088623,0.0728384330868721,13.13198184967041,0.0,0.27275609970092773,6.1785712242126465,0.05546985939145088,2.3054025173187256
1,0.4,all,120,40,41.900001525878906,-39.894561767578125,6.9318437576293945,0.05834323167800903,13.025189399719238,0.375,0.3022785782814026,4.0,0.05412522703409195,2.1226437091827393
1,0.4,KD,120,16,3.0,-36.276729583740234,0.7559472918510437,0.034836895763874054,12.8116455078125,0.9375,0.3475305438041687,0.0,0.05762895196676254,2.066537618637085
1,0.4,control,120,24,67.83333587646484,-42.30644607543945,11.04910945892334,0.07401411980390549,13.167549133300781,0.0,0.27211061120033264,6.666666507720947,0.051789406687021255,2.160047769546509
1,0.5,all,120,40,31.25,-39.3243408203125,5.931003093719482,0.05439621955156326,12.970891952514648,0.45,0.30793634057044983,2.700000047683716,0.038109373301267624,1.4784873723983765
1,0.5,KD,120,20,2.5,-36.4420166015625,0.878376305103302,0.03544699028134346,12.79575252532959,0.9,0.3422892093658447,0.0,0.036738112568855286,1.3198784589767456
1,0.5,control,120,20,60.0,-42.2066650390625,10.98362922668457,0.07334544509649277,13.146031379699707,0.0,0.27358347177505493,5.400000095367432,0.03948064148426056,1.6370960474014282
1,0.6,all,120,40,31.100000381469727,-38.7705078125,4.96366024017334,0.050711095333099365,12.945144653320312,0.525,0.3151731491088867,2.625,0.03747516870498657,1.425012230873108
1,0.6,KD,120,24,3.3333332538604736,-36.41390609741211,0.9023981094360352,0.0352947972714901,12.797070503234863,0.875,0.3430042266845703,0.0,0.037975769490003586,1.360071063041687
1,0.6,control,120,16,72.75,-42.305416107177734,11.055554389953613,0.07383553683757782,13.167253494262695,0.0,0.2734265923500061,6.5625,0.0367242768406868,1.5224238634109497
1,0.7,all,120,40,29.049999237060547,-38.2078742980957,4.0483574867248535,0.04757614806294441,12.945882797241211,0.65,0.32417693734169006,2.5,0.03500283509492874,1.3119491338729858
1,0.7,KD,120,28,3.5714285373687744,-36.32448196411133,0.7754287123680115,0.03495931252837181,12.804588317871094,0.9285714285714286,0.34570083022117615,0.0,0.03392147645354271,1.2065937519073486
1,0.7,control,120,12,88.5,-42.60245132446289,11.685192108154297,0.07701543718576431,13.2755708694458,0.0,0.2739543914794922,8.333333015441895,0.03752601519227028,1.557778239250183
1,0.8,all,120,40,23.350000381469727,-37.61591339111328,3.1736974716186523,0.04353899881243706,12.902685165405273,0.675,0.3315851092338562,1.9249999523162842,0.02965589426457882,1.0900089740753174
1,0.8,KD,120,32,3.625,-36.35660934448242,0.9972045421600342,0.03514625504612923,12.80091667175293,0.84375,0.3455650210380554,0.0,0.028492525219917297,1.0066297054290771
1,0.8,control,120,8,102.25,-42.65312576293945,11.879669189453125,0.07710997760295868,13.30976390838623,0.0,0.2756654620170593,9.625,0.03430936485528946,1.4235262870788574
1,0.9,all,120,40,14.850000381469727,-37.0398063659668,2.075312852859497,0.03965543583035469,12.854413032531738,0.75,0.33676642179489136,1.125,0.017297545447945595,0.6143514513969421
1,0.9,KD,120,36,3.722222328186035,-36.40292739868164,0.9520412087440491,0.035303227603435516,12.796815872192383,0.8333333333333334,0.34368693828582764,0.0,0.016516370698809624,0.57138991355896
1,0.9,control,120,4,115.0,-42.771671295166016,12.1847562789917,0.07882529497146606,13.372772216796875,0.0,0.2744818925857544,11.25,0.024328123778104782,1.00100576877594
1,1,all,120,40,7.849999904632568,-36.45745849609375,1.0852805376052856,0.03553309664130211,12.792887687683105,0.825,0.34243011474609375,0.42500001192092896,0.007578007876873016,0.2417023628950119
1,1,KD,120,40,7.849999904632568,-36.45745849609375,1.0852805376052856,0.03553309664130211,12.792887687683105,0.825,0.34243011474609375,0.42500001192092896,0.007578007876873016,0.2417023628950119
