seed,fraction,group,current_uA_cm2,n,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes,synaptic_g_mS_cm2,synaptic_inward_uA_cm2
1,0,all,120,40,62.25,-42.12179183959961,10.477519989013672,0.0721253901720047,13.087385177612305,0.0,0.26993927359580994,5.900000095367432,0.07517088949680328,3.1166369915008545
1,0,control,120,40,62.25,-42.12179183959961,10.477519989013672,0.0721253901720047,13.087385177612305,0.0,0.26993927359580994,5.900000095367432,0.07517088949680328,3.1166369915008545
1,0.25,all,120,40,49.29999923706055,-41.419578552246094,9.613916397094727,0.067205049097538,13.042940139770508,0.075,0.2785876393318176,4.650000095367432,0.059225499629974365,2.4121735095977783
1,0.25,KD,120,10,21.600000381469727,-39.264671325683594,6.189731597900391,0.051376331597566605,12.803606033325195,0.3,0.2962239384651184,1.7000000476837158,0.0614405982196331,2.3869807720184326
1,0.25,control,120,30,58.53333282470703,-42.13787841796875,10.755309104919434,0.07248128950595856,13.12271785736084,0.0,0.2727088928222656,5.633333206176758,0.05848712474107742,2.4205708503723145
1,0.5,all,120,40,39.599998474121094,-40.715187072753906,8.684226036071777,0.062094904482364655,12.957063674926758,0.15,0.2857171893119812,3.625,0.04732690751552582,1.894952416419983
1,0.5,KD,120,20,21.200000762939453,-39.31206130981445,6.506967067718506,0.051514822989702225,12.784393310546875,0.3,0.2977082133293152,1.75,0.04726028069853783,1.8324377536773682
1,0.5,control,120,20,58.0,-42.118316650390625,10.861483573913574,0.07267497479915619,13.129734992980957,0.0,0.273726224899292,5.5,0.04739353060722351,1.9574670791625977
1,0.75,all,120,40,39.0,-39.98115539550781,7.2399773597717285,0.05663014575839043,12.870759963989258,0.25,0.2893785536289215,3.575000047683716,0.04668869450688362,1.8422772884368896
1,0.75,KD,120,30,25.733333587646484,-39.174461364746094,5.80074405670166,0.05029519274830818,12.746219635009766,0.3333333333333333,0.2940727174282074,2.200000047683716,0.04389292374253273,1.6952588558197021
1,0.75,control,120,10,78.80000305175781,-42.4012336730957,11.557679176330566,0.07563500106334686,13.244382858276367,0.0,0.27529606223106384,7.699999809265137,0.055076003074645996,2.283332586288452
1,1,all,120,40,32.79999923706055,-39.25859832763672,6.267850399017334,0.05090484768152237,12.759366035461426,0.3,0.29614782333374023,3.0250000953674316,0.04207202047109604,1.6176669597625732
1,1,KD,120,40,32.79999923706055,-39.25859832763672,6.267850399017334,0.05090484768152237,12.759366035461426,0.3,0.29614782333374023,3.0250000953674316,0.04207202047109604,1.6176669597625732
