g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
0,5,74.0,-53.28449249267578,28.750783920288086,0.2951454818248749,13.279035568237305,0.0,0.1639174073934555,7.0
0,10,86.0,-51.168609619140625,28.451528549194336,0.2551330029964447,13.929490089416504,0.0,0.18667444586753845,8.0
0,15,96.0,-49.486419677734375,28.146194458007812,0.21981757879257202,14.397675514221191,0.0,0.20508252084255219,9.0
0,20,106.0,-46.679405212402344,28.353784561157227,0.19348536431789398,14.597107887268066,0.0,0.22177478671073914,11.0
0,30,120.0,-45.424564361572266,26.34922218322754,0.15509071946144104,14.819670677185059,0.0,0.24708227813243866,12.0
0,40,132.0,-43.611324310302734,24.32301902770996,0.1270953118801117,14.755607604980469,0.0,0.267828106880188,14.0
0,60,150.0,-41.44967269897461,19.893922805786133,0.08991613984107971,14.214431762695312,0.0,0.30757179856300354,15.0
0,80,164.0,-39.936771392822266,14.971134185791016,0.064845971763134,13.479055404663086,0.0,0.34014400839805603,16.0
0,100,8.0,-38.174930572509766,8.863475799560547,0.047164637595415115,12.803024291992188,0.0,0.3479762375354767,0.0
0,120,4.0,-36.54667663574219,0.0007108718273229897,0.03527899086475372,12.782205581665039,1.0,0.33155855536460876,0.0
0,140,4.0,-35.21037292480469,0.000274658203125,0.030919987708330154,12.89039134979248,1.0,0.3844184875488281,0.0
0,150,2.0,-34.58515548706055,0.00046539306640625,0.029100503772497177,12.910174369812012,1.0,0.4109879434108734,0.0
0,160,2.0,-33.982852935791016,0.0012359280372038484,0.027473561465740204,12.91283893585205,1.0,0.43756118416786194,0.0
0,180,2.0,-32.83407211303711,0.00140380859375,0.02467404119670391,12.871092796325684,1.0,0.49018046259880066,0.0
0,200,2.0,-31.743818283081055,0.0010585748823359609,0.022347018122673035,12.78218936920166,1.0,0.5416142344474792,0.0
2,5,62.0,-55.16403579711914,27.307825088500977,0.3525106608867645,12.239792823791504,0.0,0.13608336448669434,6.0
2,10,76.0,-51.458892822265625,28.963472366333008,0.29460644721984863,13.214425086975098,0.0,0.16308943927288055,8.0
2,15,86.0,-50.89736557006836,27.80695915222168,0.2595071792602539,13.812589645385742,0.0,0.17887361347675323,9.0
2,20,94.0,-48.283660888671875,28.50115394592285,0.22365567088127136,14.289207458496094,0.0,0.19630880653858185,10.0
2,30,108.0,-46.61912536621094,26.608266830444336,0.18267323076725006,14.670873641967773,0.0,0.22169062495231628,11.0
2,40,120.0,-45.39906692504883,24.79572868347168,0.15041179955005646,14.800041198730469,0.0,0.24346062541007996,12.0
2,60,140.0,-43.03778839111328,20.812644958496094,0.10621088743209839,14.477743148803711,0.0,0.2821229100227356,14.0
2,80,158.0,-40.95351028442383,16.45366668701172,0.0772973969578743,13.771296501159668,0.0,0.31963062286376953,16.0
2,100,168.0,-39.53164291381836,11.2625732421875,0.05607790872454643,13.052275657653809,0.0,0.3371075391769409,16.0
2,120,4.0,-37.664772033691406,1.7991515398025513,0.039880454540252686,12.624252319335938,1.0,0.2966175675392151,0.0
2,140,4.0,-36.329776763916016,0.001373291015625,0.03453060984611511,12.805686950683594,1.0,0.3389466106891632,0.0
2,150,4.0,-35.687496185302734,8.0108642578125e-05,0.032395824790000916,12.862289428710938,1.0,0.3642532527446747,0.0
2,160,2.0,-35.06430435180664,0.001823410508222878,0.03048705868422985,12.897197723388672,1.0,0.3900414705276489,0.0
2,180,2.0,-33.88078689575195,0.0009651400614529848,0.027211839333176613,12.910447120666504,1.0,0.44168633222579956,0.0
2,200,2.0,-32.75595474243164,0.0014419476501643658,0.024497976526618004,12.866875648498535,1.0,0.4931912124156952,0.0
5,5,52.0,-57.8537712097168,25.662090301513672,0.4085060954093933,11.375340461730957,0.0,0.11158570647239685,5.0
5,10,64.0,-54.05650329589844,28.227415084838867,0.3397344946861267,12.590867042541504,0.0,0.13492321968078613,7.0
5,15,72.0,-53.827762603759766,27.04113006591797,0.3083593249320984,13.210562705993652,0.0,0.14968565106391907,7.0
5,20,80.0,-51.928287506103516,27.206775665283203,0.27498915791511536,13.697715759277344,0.0,0.16435930132865906,8.0
5,30,92.0,-50.207401275634766,26.04811668395996,0.2280849814414978,14.319551467895508,0.0,0.18568332493305206,9.0
5,40,104.0,-48.86676788330078,24.835559844970703,0.18937774002552032,14.702228546142578,0.0,0.2071683406829834,10.0
5,60,126.0,-44.8763313293457,22.079181671142578,0.13559840619564056,14.684978485107422,0.0,0.24768249690532684,13.0
5,80,144.0,-43.618099212646484,17.87334632873535,0.09859040379524231,14.222809791564941,0.0,0.2831287682056427,14.0
5,100,160.0,-41.29543685913086,13.613897323608398,0.07135269790887833,13.479361534118652,0.0,0.31192243099212646,16.0
5,120,6.0,-39.50440979003906,8.413297653198242,0.05268516018986702,12.769994735717773,0.0,0.3088630139827728,0.0
5,140,4.0,-37.93988800048828,0.001242977101355791,0.04065008461475372,12.573250770568848,1.0,0.28095299005508423,0.0
5,150,4.0,-37.291378021240234,0.000186920166015625,0.03803865611553192,12.683515548706055,1.0,0.30272743105888367,0.0
5,160,2.0,-36.661903381347656,6.866455078125e-05,0.03569159284234047,12.769452095031738,1.0,0.3258068263530731,0.0
5,180,2.0,-35.45303726196289,0.00042342007509432733,0.031656283885240555,12.877726554870605,1.0,0.3734545111656189,0.0
5,200,2.0,-34.296905517578125,0.0003776439989451319,0.02831227146089077,12.913810729980469,1.0,0.4227510392665863,0.0
10,5,42.0,-60.585811614990234,23.1772518157959,0.47087574005126953,10.322410583496094,0.0,0.0863899439573288,4.0
10,10,52.0,-58.637935638427734,24.87965965270996,0.4179343283176422,11.549395561218262,0.0,0.10528673976659775,5.0
10,15,60.0,-57.11886978149414,25.4849853515625,0.3863895535469055,12.16187572479248,0.0,0.11812125146389008,6.0
10,20,66.0,-54.57490921020508,26.509227752685547,0.3476647734642029,12.759556770324707,0.0,0.1305350810289383,7.0
10,30,76.0,-53.03569412231445,26.14544677734375,0.2890850007534027,13.770988464355469,0.0,0.14798030257225037,8.0
10,40,86.0,-52.00494384765625,24.597084045410156,0.2594325840473175,14.094504356384277,0.0,0.16291272640228271,9.0
