seed,fraction,group,current_uA_cm2,n,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes,synaptic_g_mS_cm2,synaptic_inward_uA_cm2
0,0,all,5,40,54.0,-56.241943359375,24.0920352935791,0.34138351678848267,11.5326509475708,0.0,0.11651809513568878,5.0,0.15490059554576874,7.267950534820557
0,0,control,5,40,54.0,-56.241943359375,24.0920352935791,0.34138351678848267,11.5326509475708,0.0,0.11651809513568878,5.0,0.15490059554576874,7.267950534820557
0,0.25,all,5,40,61.75,-54.7096061706543,25.111331939697266,0.33460959792137146,11.89000129699707,0.0,0.13282421231269836,5.900000095367432,0.12277667224407196,6.0067667961120605
0,0.25,KD,5,10,84.5999984741211,-50.044368743896484,27.513723373413086,0.2433546781539917,13.503649711608887,0.0,0.18243461847305298,8.399999618530273,0.12896239757537842,6.410029411315918
0,0.25,control,5,30,54.13333511352539,-56.26469039916992,24.310535430908203,0.3650279939174652,11.352116584777832,0.0,0.11628742516040802,5.066666603088379,0.12071476131677628,5.872345924377441
0,0.5,all,5,40,68.5999984741211,-53.74223709106445,26.4231014251709,0.3117787837982178,12.612635612487793,0.0,0.14815855026245117,6.650000095367432,0.09379146993160248,4.826939105987549
0,0.5,KD,5,20,83.0999984741211,-50.624595642089844,28.073673248291016,0.2514985501766205,13.591392517089844,0.0,0.18035534024238586,8.25,0.0941728726029396,4.868590831756592
0,0.5,control,5,20,54.099998474121094,-56.859893798828125,24.772523880004883,0.37205901741981506,11.633877754211426,0.0,0.11596176773309708,5.050000190734863,0.09341008216142654,4.785286903381348
0,0.75,all,5,40,73.6500015258789,-52.47380447387695,28.135101318359375,0.2903425097465515,13.214487075805664,0.0,0.16007666289806366,7.25,0.06051838397979736,3.1768853664398193
0,0.75,KD,5,30,79.53333282470703,-51.26283264160156,28.52235984802246,0.2656552493572235,13.58846664428711,0.0,0.1735561192035675,7.766666889190674,0.06073864549398422,3.1910836696624756
0,0.75,control,5,10,56.0,-56.1067008972168,26.97333335876465,0.3644042909145355,12.092541694641113,0.0,0.11963830143213272,5.699999809265137,0.05985758826136589,3.1342899799346924
0,1,all,5,40,76.1500015258789,-51.24836349487305,29.522552490234375,0.2872222661972046,13.286392211914062,0.0,0.16772906482219696,7.974999904632568,0.02168738842010498,1.0818054676055908
0,1,KD,5,40,76.1500015258789,-51.24836349487305,29.522552490234375,0.2872222661972046,13.286392211914062,0.0,0.16772906482219696,7.974999904632568,0.02168738842010498,1.0818054676055908
0,0,all,10,40,70.25,-52.74964141845703,25.90523338317871,0.28450366854667664,12.868646621704102,0.0,0.14756402373313904,7.025000095367432,0.20013995468616486,9.591493606567383
0,0,control,10,40,70.25,-52.74964141845703,25.90523338317871,0.28450366854667664,12.868646621704102,0.0,0.14756402373313904,7.025000095367432,0.20013995468616486,9.591493606567383
0,0.25,all,10,40,77.3499984741211,-51.86742401123047,26.525436401367188,0.27586838603019714,13.105194091796875,0.0,0.16227638721466064,7.699999809265137,0.15595844388008118,7.649907112121582
0,0.25,KD,10,10,98.80000305175781,-47.93522262573242,27.117481231689453,0.19882483780384064,14.2151460647583,0.0,0.20919093489646912,9.800000190734863,0.1638355404138565,7.985927581787109
0,0.25,control,10,30,70.19999694824219,-53.178157806396484,26.328088760375977,0.3015495538711548,12.735210418701172,0.0,0.1466381996870041,7.0,0.15333274006843567,7.537900924682617
0,0.5,all,10,40,81.8499984741211,-51.017860412597656,27.246326446533203,0.2551460266113281,13.697247505187988,0.0,0.17316317558288574,8.175000190734863,0.11641118675470352,5.853456020355225
0,0.5,KD,10,20,95.5,-48.584110260009766,27.6621036529541,0.20811736583709717,14.291099548339844,0.0,0.203630730509758,9.350000381469727,0.11690530925989151,5.807253837585449
0,0.5,control,10,20,68.19999694824219,-53.45161056518555,26.83054542541504,0.3021746277809143,13.103395462036133,0.0,0.1426956206560135,7.0,0.11591706424951553,5.899658679962158
0,0.75,all,10,40,86.0,-50.16203689575195,28.1729793548584,0.24721653759479523,13.876070976257324,0.0,0.18327312171459198,8.625,0.07202799618244171,3.649646759033203
0,0.75,KD,10,30,92.0,-49.01096725463867,28.435504913330078,0.2237383872270584,14.193904876708984,0.0,0.196876659989357,9.166666984558105,0.0723046213388443,3.6503067016601562
0,0.75,control,10,10,68.0,-53.61524200439453,27.385400772094727,0.3176509141921997,12.922566413879395,0.0,0.1424625813961029,7.0,0.07119810581207275,3.647667646408081
0,1,all,10,40,89.25,-49.55747604370117,29.142414093017578,0.23982258141040802,14.10736083984375,0.0,0.19236800074577332,8.975000381469727,0.025459611788392067,1.2684850692749023
0,1,KD,10,40,89.25,-49.55747604370117,29.142414093017578,0.23982258141040802,14.10736083984375,0.0,0.19236800074577332,8.975000381469727,0.025459611788392067,1.2684850692749023
0,0,all,20,40,89.1500015258789,-49.56403350830078,25.23455047607422,0.21436342597007751,14.099804878234863,0.0,0.18187496066093445,9.149999618530273,0.2558024525642395,12.031466484069824
0,0,control,20,40,89.1500015258789,-49.56403350830078,25.23455047607422,0.21436342597007751,14.099804878234863,0.0,0.18187496066093445,9.149999618530273,0.2558024525642395,12.031466484069824
