seed,fraction,group,current_uA_cm2,n,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes,synaptic_g_mS_cm2,synaptic_inward_uA_cm2
1,0,all,10,40,92.19999694824219,-46.634483337402344,22.943967819213867,0.16727545857429504,13.328954696655273,0.0,0.1971265971660614,10.024999618530273,0.5701015591621399,23.889110565185547
1,0,control,10,40,92.19999694824219,-46.634483337402344,22.943967819213867,0.16727545857429504,13.328954696655273,0.0,0.1971265971660614,10.024999618530273,0.5701015591621399,23.889110565185547
1,0.25,all,10,40,96.19999694824219,-47.31416702270508,23.626344680786133,0.1745331734418869,13.573919296264648,0.0,0.20422391593456268,9.550000190734863,0.4632008671760559,20.261371612548828
1,0.25,KD,10,10,107.0,-45.36697006225586,22.90624237060547,0.14551784098148346,13.689897537231445,0.0,0.2258574217557907,11.0,0.45856794714927673,20.603302001953125
1,0.25,control,10,30,92.5999984741211,-47.96323776245117,23.866376876831055,0.18420498073101044,13.535263061523438,0.0,0.19701270759105682,9.066666603088379,0.4647451341152191,20.14739418029785
1,0.5,all,10,40,97.30000305175781,-47.6294059753418,25.2119083404541,0.18314340710639954,14.004877090454102,0.0,0.2054491490125656,9.774999618530273,0.3139994740486145,14.359700202941895
1,0.5,KD,10,20,104.19999694824219,-46.522891998291016,24.80428695678711,0.16562320291996002,14.037412643432617,0.0,0.2195463925600052,10.399999618530273,0.3089086413383484,14.445440292358398
1,0.5,control,10,20,90.4000015258789,-48.735923767089844,25.619525909423828,0.20066364109516144,13.972338676452637,0.0,0.19135186076164246,9.149999618530273,0.31909021735191345,14.273958206176758
1,0.75,all,10,40,95.9000015258789,-48.56629943847656,26.681537628173828,0.20372021198272705,14.119763374328613,0.0,0.2029133141040802,9.350000381469727,0.17639374732971191,8.488621711730957
1,0.75,KD,10,30,99.19999694824219,-47.79431915283203,26.793445587158203,0.1945236176252365,14.198552131652832,0.0,0.20976684987545013,9.800000190734863,0.16960173845291138,8.261542320251465
1,0.75,control,10,10,86.0,-50.882232666015625,26.345800399780273,0.2313099354505539,13.883395195007324,0.0,0.18235263228416443,8.0,0.1967698335647583,9.169858932495117
1,1,all,10,40,92.5999984741211,-48.65956497192383,28.955678939819336,0.22552421689033508,14.226231575012207,0.0,0.19859525561332703,9.399999618530273,0.057602059096097946,2.7953686714172363
1,1,KD,10,40,92.5999984741211,-48.65956497192383,28.955678939819336,0.22552421689033508,14.226231575012207,0.0,0.19859525561332703,9.399999618530273,0.057602059096097946,2.7953686714172363
