label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_circuit/S2/baseline,somatic_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
somatic_circuit/S2/Syn,somatic_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.008202959222643039,0.3046784795865941,0.10268784687025118,0.07652500167843498,0.2964703258166837,9,0.07652500167843498,0.09640495563031001,0.07358810973264115,0.29647547695821114,9,0.07358810973264115,True,True
somatic_circuit/S2/CaMKII,somatic_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
somatic_circuit/S2/hDlx,somatic_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
somatic_circuit/S2/I_spared,somatic_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
somatic_circuit/S1/baseline,somatic_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.04928808582737944,0.05164058520773397,0.049634995284876034,0.051156591987958744,0.0,0,0.051156591987958744,0.049634995284876034,0.051156591987958744,0.0,0,0.051156591987958744,False,True
somatic_circuit/S1/Syn,somatic_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.0349577434676446,0.07618753702189882,0.07397165591592716,0.03673163261265944,0.0,0,0.03673163261265944,0.07397165591592716,0.03673163261265944,0.0,0,0.03673163261265944,False,True
somatic_circuit/S1/CaMKII,somatic_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.023975571264273958,0.05164058520773397,0.024632044375684007,0.03707187785446008,0.0,0,0.03707187785446008,0.024632044375684007,0.03707187785446008,0.0,0,0.03707187785446008,False,True
somatic_circuit/S1/hDlx,somatic_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.028902835838531975,0.32769960918390745,0.13792873593692884,0.08207164497707774,0.2881724961566657,12,0.08207164497707774,0.1442961638804119,0.08383506207057587,0.2881726652531698,13,0.08383506207057587,True,True
somatic_circuit/S1/I_spared,somatic_circuit,0.04963499528646677,0.051156591988518546,3.6061889585603524e-11,0.023975571264273958,0.05164058520773397,0.024632044375684007,0.03707187785446008,0.0,0,0.03707187785446008,0.024632044375684007,0.03707187785446008,0.0,0,0.03707187785446008,False,True
somatic_targeting/S2/baseline,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
somatic_targeting/S2/Syn,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.008202959222643039,0.3046784795865941,0.10268784687025118,0.07652500167843498,0.2964703258166837,9,0.07652500167843498,0.09640495563031001,0.07358810973264115,0.29647547695821114,9,0.07358810973264115,True,True
somatic_targeting/S2/CaMKII,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
