label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_circuit/S2/baseline,somatic_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
somatic_circuit/S2/Syn,somatic_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.007584716899142804,0.30764901120729576,0.10301585138602991,0.07686897512736345,0.3000634067497556,9,0.07686897512736345,0.09654492888166061,0.07430680224464849,0.30006429430815296,9,0.07430680224464849,True,True
somatic_circuit/S2/CaMKII,somatic_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
somatic_circuit/S2/hDlx,somatic_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.01760026177794586,0.41822775019796915,0.15512359404834833,0.11416868516871702,0.4006269499291173,12,0.11416868516871702,0.1551154420507195,0.11416617907870374,0.4006274469830452,12,0.11416617907870374,True,True
somatic_circuit/S2/I_spared,somatic_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
somatic_circuit/S1/baseline,somatic_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.0492843665072553,0.0516429246173596,0.04963499528487548,0.05115659198795895,0.0,0,0.05115659198795895,0.04963499528487548,0.05115659198795895,0.0,0,0.05115659198795895,False,True
somatic_circuit/S1/Syn,somatic_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.034955986608313436,0.07620466840242629,0.07397165591592877,0.036731632612658514,0.0,0,0.036731632612658514,0.07397165591592877,0.036731632612658514,0.0,0,0.036731632612658514,False,True
somatic_circuit/S1/CaMKII,somatic_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.023972875840317414,0.0516429246173596,0.024632044375684517,0.03707187785445977,0.0,0,0.03707187785445977,0.024632044375684517,0.03707187785445977,0.0,0,0.03707187785445977,False,True
somatic_circuit/S1/hDlx,somatic_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.028618880479218744,0.3295519248656146,0.13826209959651717,0.08306137650026592,0.29106373681244757,12,0.08306137650026592,0.1435218718824443,0.08316010880682069,0.29106232407459,13,0.08316010880682069,True,True
somatic_circuit/S1/I_spared,somatic_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.023972875840317414,0.0516429246173596,0.024632044375684517,0.03707187785445977,0.0,0,0.03707187785445977,0.024632044375684517,0.03707187785445977,0.0,0,0.03707187785445977,False,True
