starting_heading_deg,outcome,peak_error_deg,final_error_deg,final_vector_strength,final_rate_ratio
-180.0,spared,0.00,0.00,0.700,1.000
-175.0,spared,0.00,0.00,0.700,1.000
-170.0,spared,0.00,0.00,0.700,1.000
-165.0,spared,0.00,0.00,0.700,1.000
-160.0,spared,0.00,0.00,0.700,1.000
-155.0,spared,0.00,0.00,0.700,1.000
-150.0,spared,0.00,0.00,0.700,1.000
-145.0,spared,0.00,0.00,0.700,1.000
-140.0,spared,0.00,0.00,0.700,1.000
-135.0,spared,0.00,0.00,0.700,1.000
-130.0,spared,0.00,0.00,0.700,1.000
-125.0,spared,2.84,2.53,0.702,0.997
-120.0,spared,7.75,7.41,0.702,0.997
-115.0,failed,12.74,12.39,0.702,0.997
-110.0,failed,17.92,17.42,0.702,0.997
-105.0,failed,22.64,22.32,0.702,0.997
-100.0,failed,27.49,27.15,0.702,0.996
-95.0,failed,32.61,32.08,0.703,0.996
-90.0,failed,37.80,37.23,0.703,0.996
-85.0,failed,42.55,42.02,0.703,0.996
-80.0,failed,47.72,47.14,0.703,0.996
-75.0,failed,52.64,52.03,0.703,0.996
-70.0,failed,57.45,56.87,0.703,0.996
-65.0,failed,62.29,61.76,0.703,0.996
-60.0,failed,67.41,66.83,0.703,0.996
-55.0,failed,72.34,71.76,0.703,0.996
-50.0,failed,77.36,76.76,0.703,0.996
-45.0,failed,82.21,81.70,0.703,0.996
-40.0,failed,87.49,86.79,0.703,0.996
-35.0,failed,92.35,91.68,0.703,0.996
-30.0,failed,97.23,96.63,0.703,0.996
-25.0,failed,102.07,101.60,0.703,0.996
-20.0,failed,107.24,106.64,0.703,0.996
-15.0,failed,112.21,111.49,0.703,0.996
-10.0,failed,117.10,116.53,0.703,0.996
-5.0,failed,122.06,121.23,0.704,0.995
0.0,failed,122.06,121.23,0.704,0.995
5.0,failed,117.10,116.53,0.703,0.996
10.0,failed,112.21,111.49,0.703,0.996
15.0,failed,107.24,106.64,0.703,0.996
20.0,failed,102.07,101.60,0.703,0.996
25.0,failed,97.23,96.63,0.703,0.996
30.0,failed,92.35,91.68,0.703,0.996
35.0,failed,87.49,86.79,0.703,0.996
40.0,failed,82.21,81.70,0.703,0.996
45.0,failed,77.36,76.76,0.703,0.996
50.0,failed,72.34,71.76,0.703,0.996
55.0,failed,67.41,66.83,0.703,0.996
60.0,failed,62.29,61.76,0.703,0.996
65.0,failed,57.45,56.87,0.703,0.996
70.0,failed,52.64,52.03,0.703,0.996
75.0,failed,47.72,47.14,0.703,0.996
80.0,failed,42.55,42.02,0.703,0.996
85.0,failed,37.80,37.23,0.703,0.996
90.0,failed,32.61,32.08,0.703,0.996
95.0,failed,27.49,27.15,0.702,0.996
100.0,failed,22.64,22.32,0.702,0.997
105.0,failed,17.92,17.42,0.702,0.997
110.0,failed,12.74,12.39,0.702,0.997
115.0,spared,7.75,7.41,0.702,0.997
120.0,spared,2.84,2.53,0.702,0.997
125.0,spared,0.00,0.00,0.700,1.000
130.0,spared,0.00,0.00,0.700,1.000
135.0,spared,0.00,0.00,0.700,1.000
140.0,spared,0.00,0.00,0.700,1.000
145.0,spared,0.00,0.00,0.700,1.000
150.0,spared,0.00,0.00,0.700,1.000
155.0,spared,0.00,0.00,0.700,1.000
160.0,spared,0.00,0.00,0.700,1.000
165.0,spared,0.00,0.00,0.700,1.000
170.0,spared,0.00,0.00,0.700,1.000
175.0,spared,0.00,0.00,0.700,1.000
