initial_heading_deg,inside_lesion_wedge,intact_control_valid,departure_observed,sustained_return,final_matched_error_deg,maximum_matched_error_deg,final_bump_strength,final_relative_activity,maximum_tail_error_deg,minimum_tail_bump_strength,minimum_tail_relative_activity,minimum_tail_control_activity,outcome
-180.0,False,True,True,False,57.869,65.851,0.8423,1.0925,65.851,0.8312,0.8141,27.0587,failed
-172.5,False,True,True,False,45.665,59.393,0.8569,0.9944,54.410,0.8152,0.7977,27.0587,failed
-165.0,False,True,True,False,47.157,50.176,0.8314,1.0884,50.176,0.8237,0.8453,27.0587,failed
-157.5,False,True,True,False,31.435,40.663,0.8579,1.0616,36.764,0.8344,0.7784,27.0587,failed
-150.0,False,True,True,False,24.777,30.151,0.8547,1.0432,29.981,0.8226,0.8176,27.0587,failed
-142.5,False,True,True,False,23.571,25.194,0.8476,1.0779,24.788,0.8272,0.8456,27.0587,failed
-135.0,False,True,True,False,24.425,27.061,0.8373,1.0265,27.061,0.8250,0.8225,27.0587,failed
-127.5,False,True,False,True,4.896,10.612,0.8355,1.0312,7.246,0.8269,0.8472,27.0587,spared
-120.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-112.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-105.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-97.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-90.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-82.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-75.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-67.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-60.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-52.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-45.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-37.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-30.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-22.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-15.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
-7.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
0.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
7.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
15.0,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
22.5,False,True,False,True,0.000,0.000,0.8405,1.0000,0.000,0.8097,1.0000,27.0587,spared
30.0,False,True,False,True,4.896,10.612,0.8355,1.0312,7.246,0.8269,0.8472,27.0587,spared
37.5,False,True,True,False,24.425,27.061,0.8373,1.0265,27.061,0.8250,0.8225,27.0587,failed
45.0,False,True,True,False,23.571,25.194,0.8476,1.0779,24.788,0.8272,0.8456,27.0587,failed
52.5,False,True,True,False,24.777,30.151,0.8547,1.0432,29.981,0.8226,0.8176,27.0587,failed
60.0,False,True,True,False,31.435,40.663,0.8579,1.0616,36.764,0.8344,0.7784,27.0587,failed
67.5,False,True,True,False,47.157,50.176,0.8314,1.0884,50.176,0.8237,0.8453,27.0587,failed
75.0,False,True,True,False,45.665,59.393,0.8569,0.9944,54.410,0.8152,0.7977,27.0587,failed
82.5,False,True,True,False,57.869,65.851,0.8423,1.0925,65.851,0.8312,0.8141,27.0587,failed
90.0,False,True,True,False,64.610,70.902,0.8388,1.0845,68.346,0.8204,0.8277,27.0587,failed
97.5,True,True,True,False,72.707,80.106,0.8343,1.1003,80.106,0.8328,0.8419,27.0587,failed
105.0,True,True,True,False,88.177,95.969,0.8396,1.1714,95.969,0.8328,0.8260,27.0587,failed
112.5,True,True,True,False,93.270,96.456,0.8525,1.1262,96.456,0.8264,0.8338,27.0587,failed
120.0,True,True,True,False,94.546,98.630,0.8396,1.0914,98.630,0.8307,0.8030,27.0587,failed
127.5,True,True,True,False,3.927,3.927,0.8152,0.0000,3.927,0.8152,0.0000,27.0587,failed
135.0,True,True,True,False,3.927,3.927,0.8152,0.0000,3.927,0.8152,0.0000,27.0587,failed
142.5,True,True,True,False,94.546,98.630,0.8396,1.0914,98.630,0.8307,0.8030,27.0587,failed
150.0,True,True,True,False,93.270,96.456,0.8525,1.1262,96.456,0.8264,0.8338,27.0587,failed
157.5,True,True,True,False,88.177,95.969,0.8396,1.1714,95.969,0.8328,0.8260,27.0587,failed
165.0,True,True,True,False,72.707,80.106,0.8343,1.1003,80.106,0.8328,0.8419,27.0587,failed
172.5,False,True,True,False,64.610,70.902,0.8388,1.0845,68.346,0.8204,0.8277,27.0587,failed
