regime,corr_low,corr_high,corr_center,n,mean_influence,sem_influence
inhibition_dominant,-1.0,-0.35,-0.675,31,0.00011200716845878136,0.00011200716845878138
inhibition_dominant,-0.35,0.0,-0.175,10,0.0,0.0
inhibition_dominant,0.0,0.35,0.175,6,0.0,0.0
inhibition_dominant,0.35,0.65,0.5,10,0.0,0.0
inhibition_dominant,0.65,0.85,0.75,10,0.0,0.0
inhibition_dominant,0.85,1.0,0.925,12,0.0,0.0
broad_inhibition,-1.0,-0.35,-0.675,31,0.00011200716845878136,0.00011200716845878139
broad_inhibition,-0.35,0.0,-0.175,11,0.0,0.0
broad_inhibition,0.0,0.35,0.175,5,0.0,0.0
broad_inhibition,0.35,0.65,0.5,10,0.0,0.0
broad_inhibition,0.65,0.85,0.75,10,0.0003472222222222222,0.00034722222222222224
broad_inhibition,0.85,1.0,0.925,12,0.0,0.0004274010103449053
specific_strong_ei,-1.0,-0.35,-0.675,32,0.00010850694444444444,0.00010850694444444442
specific_strong_ei,-0.35,0.0,-0.175,10,0.0,0.0
specific_strong_ei,0.0,0.35,0.175,5,0.0006944444444444444,0.0006944444444444443
specific_strong_ei,0.35,0.65,0.5,9,0.00038580246913580245,0.00038580246913580245
specific_strong_ei,0.65,0.85,0.75,11,0.00031565656565656563,0.0003156565656565657
specific_strong_ei,0.85,1.0,0.925,12,0.0,0.0
