analysis,low,high,center,n,mean,sem
cortical_distance_um,0.0,75.0,37.5,8,0.004952050264550265,0.002666337713099476
cortical_distance_um,75.0,150.0,112.5,27,0.0020061728395061726,0.0011678595845403211
cortical_distance_um,150.0,250.0,200.0,58,-0.0001356960408684544,0.0007055156753360154
cortical_distance_um,250.0,400.0,325.0,26,5.3418803418803365e-05,0.0006400196656511796
cortical_distance_um,400.0,,400.0,0,,
rf_distance_deg,0.0,4.0,2.0,15,-4.409171075837737e-05,0.0009167622952146302
rf_distance_deg,4.0,8.0,6.0,34,-8.753501400560224e-05,0.0007359775284637551
rf_distance_deg,8.0,12.0,10.0,43,0.0016426725729051306,0.0009564940976988894
rf_distance_deg,12.0,20.0,16.0,27,0.0007520086223789928,0.001196678868913601
rf_distance_deg,20.0,,20.0,0,,
signal_correlation,-1.0,-0.3,-0.65,40,0.0013359788359788359,0.0008696885219348855
signal_correlation,-0.3,0.1,-0.09999999999999999,21,0.000714915595867977,0.0013614246006151362
signal_correlation,0.1,0.4,0.25,13,-0.00146011396011396,0.0014778465258510377
signal_correlation,0.4,0.7,0.55,26,0.0008648758648758648,0.0011714318245143063
signal_correlation,0.7,0.9,0.8,15,0.0013315696649029982,0.0009880844589384155
signal_correlation,0.9,1.000001,0.9500005,4,-0.0011574074074074073,0.0011574074074074073
orientation_difference_deg,0.0,15.0,7.5,22,6.613756613756635e-05,0.0009310855773274007
orientation_difference_deg,15.0,30.0,22.5,25,0.0009338624338624336,0.0012639966909468836
orientation_difference_deg,30.0,45.0,37.5,19,-0.00020885547201336655,0.0013097134999007585
orientation_difference_deg,45.0,67.5,56.25,26,0.0004298941798941799,0.0010035976489632373
orientation_difference_deg,67.5,90.0001,78.75005,27,0.002047815010777974,0.0010887759497388567
direct_connection_mA,-1e-12,1e-12,0.0,108,0.0002872085048010976,0.0005076009438120812
direct_connection_mA,1e-12,0.07444698114748714,0.037223490574243574,4,0.0021990740740740738,0.001273148148148148
direct_connection_mA,0.07444698114748714,0.12190327252522487,0.09817512683635601,3,0.004783950617283951,0.0013453391801051464
direct_connection_mA,0.12190327252522487,,0.12190327252522487,4,0.00828373015873016,0.004022753238678651
