condition,radius_mm,inhibition_gain,reach_fraction,upper_route_fraction,lower_route_fraction,max_x_mm,outcome_code,outcome
0,0.0,0.6399999856948853,1.0,1.0,1.0,33.0,0,crosses
1,0.0,0.6800000071525574,1.0,1.0,1.0,33.0,0,crosses
2,0.0,0.7200000286102295,1.0,1.0,1.0,33.0,0,crosses
3,0.0,0.7599999904632568,1.0,1.0,1.0,33.0,0,crosses
4,0.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
5,0.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
6,2.0,0.6399999856948853,1.0,1.0,1.0,33.0,2,splits
7,2.0,0.6800000071525574,1.0,1.0,1.0,33.0,2,splits
8,2.0,0.7200000286102295,1.0,1.0,1.0,33.0,2,splits
9,2.0,0.7599999904632568,1.0,1.0,1.0,33.0,2,splits
10,2.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
11,2.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
12,4.0,0.6399999856948853,1.0,1.0,1.0,33.0,2,splits
13,4.0,0.6800000071525574,1.0,1.0,1.0,33.0,2,splits
14,4.0,0.7200000286102295,1.0,1.0,1.0,33.0,2,splits
15,4.0,0.7599999904632568,1.0,1.0,1.0,33.0,2,splits
16,4.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
17,4.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
18,6.0,0.6399999856948853,1.0,1.0,1.0,33.0,2,splits
19,6.0,0.6800000071525574,1.0,1.0,1.0,33.0,2,splits
20,6.0,0.7200000286102295,1.0,1.0,1.0,33.0,2,splits
21,6.0,0.7599999904632568,1.0,1.0,1.0,33.0,2,splits
22,6.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
23,6.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
24,8.0,0.6399999856948853,1.0,1.0,1.0,33.0,2,splits
25,8.0,0.6800000071525574,1.0,1.0,1.0,33.0,2,splits
26,8.0,0.7200000286102295,1.0,1.0,1.0,33.0,2,splits
27,8.0,0.7599999904632568,1.0,1.0,1.0,33.0,2,splits
28,8.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
29,8.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
30,10.0,0.6399999856948853,1.0,1.0,0.0,33.0,1,bends
31,10.0,0.6800000071525574,1.0,1.0,0.0,33.0,1,bends
32,10.0,0.7200000286102295,1.0,1.0,0.0,33.0,1,bends
33,10.0,0.7599999904632568,1.0,1.0,0.0,33.0,1,bends
34,10.0,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
35,10.0,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
36,11.5,0.6399999856948853,0.0,0.0,0.0,12.0,3,dies
37,11.5,0.6800000071525574,0.0,0.0,0.0,12.0,3,dies
38,11.5,0.7200000286102295,0.0,0.0,0.0,12.0,3,dies
39,11.5,0.7599999904632568,0.0,0.0,0.0,12.0,3,dies
40,11.5,0.7799999713897705,0.0,0.0,0.0,7.0,3,dies
41,11.5,0.800000011920929,0.0,0.0,0.0,7.0,3,dies
