coupling,realization,tail_active_fraction,unstable,total_spikes
0.5,0,0.0,False,8.0
0.5,1,0.0,False,9.0
0.5,2,0.0,False,11.0
0.5,3,0.0,False,10.0
0.5,4,0.0,False,11.0
0.5,5,0.0,False,9.0
0.5,6,0.0,False,12.0
0.5,7,0.0,False,13.0
0.5,8,0.0,False,11.0
0.5,9,0.0,False,10.0
0.5,10,0.0,False,8.0
0.5,11,0.0,False,10.0
0.5,12,0.0,False,8.0
0.5,13,0.0,False,10.0
0.5,14,0.0,False,11.0
0.5,15,0.0,False,11.0
0.55,0,0.0,False,8.0
0.55,1,0.0,False,11.0
0.55,2,0.0,False,11.0
0.55,3,0.0,False,10.0
0.55,4,0.0,False,11.0
0.55,5,0.0,False,9.0
0.55,6,0.0,False,12.0
0.55,7,0.0,False,13.0
0.55,8,0.0,False,11.0
0.55,9,0.0,False,10.0
0.55,10,0.0,False,9.0
0.55,11,0.0,False,10.0
0.55,12,0.0,False,8.0
0.55,13,0.0,False,10.0
0.55,14,0.0,False,11.0
0.55,15,0.0,False,11.0
0.6,0,0.0,False,8.0
0.6,1,0.0,False,13.0
0.6,2,0.0,False,11.0
0.6,3,0.0,False,10.0
0.6,4,0.0,False,13.0
0.6,5,0.0,False,9.0
0.6,6,0.0,False,13.0
0.6,7,0.0,False,13.0
0.6,8,0.0,False,13.0
0.6,9,0.0,False,10.0
0.6,10,0.0,False,25.0
0.6,11,0.0,False,10.0
0.6,12,0.0,False,8.0
0.6,13,0.0,False,10.0
0.6,14,0.0,False,17.0
0.6,15,0.0,False,13.0
0.625,0,0.0,False,8.0
0.625,1,0.0,False,14.0
0.625,2,0.0,False,11.0
0.625,3,0.0,False,10.0
0.625,4,0.0,False,13.0
0.625,5,0.0,False,9.0
0.625,6,0.0,False,15.0
0.625,7,0.0,False,13.0
0.625,8,0.0,False,16.0
0.625,9,0.0,False,11.0
0.625,10,0.0,False,153.0
0.625,11,0.0,False,11.0
0.625,12,0.0,False,8.0
0.625,13,0.0,False,10.0
0.625,14,0.0,False,20.0
0.625,15,0.0,False,13.0
0.65,0,0.0,False,8.0
0.65,1,1.0,True,10515.0
0.65,2,0.0,False,11.0
0.65,3,0.0,False,10.0
0.65,4,0.0,False,13.0
0.65,5,0.0,False,9.0
0.65,6,0.0,False,18.0
0.65,7,0.0,False,13.0
0.65,8,0.0,False,22.0
0.65,9,0.0,False,913.0
0.65,10,0.0,False,377.0
0.65,11,0.0,False,17.0
0.65,12,0.0,False,8.0
0.65,13,0.0,False,11.0
0.65,14,0.0,False,181.0
0.65,15,0.0,False,13.0
0.675,0,0.0,False,9.0
0.675,1,1.0,True,12389.0
0.675,2,0.0,False,11.0
0.675,3,0.0,False,12.0
0.675,4,0.0,False,21.0
0.675,5,0.0,False,9.0
0.675,6,0.0,False,432.0
0.675,7,0.0,False,13.0
0.675,8,0.0,False,2114.0
0.675,9,0.0,False,338.0
0.675,10,0.0,False,596.0
0.675,11,0.0,False,1222.0
0.675,12,0.0,False,8.0
0.675,13,0.0,False,12.0
0.675,14,0.0,False,1048.0
0.675,15,0.0,False,13.0
0.7,0,0.0,False,11.0
0.7,1,1.0,True,13340.0
0.7,2,0.0,False,11.0
0.7,3,0.0,False,13.0
0.7,4,0.0,False,22.0
0.7,5,0.0,False,9.0
0.7,6,0.0,False,474.0
0.7,7,0.0,False,13.0
0.7,8,1.0,True,4827.0
0.7,9,0.0,False,636.0
0.7,10,0.0,False,1137.0
0.7,11,0.0,False,2232.0
0.7,12,0.0,False,9.0
0.7,13,0.0,False,1088.0
0.7,14,1.0,True,13263.0
0.7,15,0.0,False,13.0
0.72,0,0.0,False,11.0
0.72,1,0.0,False,2639.0
0.72,2,0.0,False,11.0
0.72,3,0.0,False,13.0
0.72,4,0.0,False,30.0
0.72,5,0.0,False,9.0
0.72,6,0.0,False,1005.0
0.72,7,0.0,False,13.0
0.72,8,0.0,False,1133.0
0.72,9,0.0,False,866.0
0.72,10,0.0,False,2139.0
0.72,11,0.0,False,2667.0
0.72,12,0.0,False,10.0
0.72,13,0.0,False,1365.0
0.72,14,1.0,True,17304.0
0.72,15,0.0,False,13.0
0.73,0,0.0,False,11.0
0.73,1,0.0,False,3033.0
0.73,2,0.0,False,11.0
0.73,3,0.0,False,2362.0
0.73,4,0.0,False,30.0
0.73,5,0.0,False,9.0
0.73,6,0.0,False,1425.0
0.73,7,0.0,False,13.0
0.73,8,0.0,False,1212.0
0.73,9,0.0,False,1139.0
0.73,10,0.0,False,2276.0
0.73,11,0.0,False,3026.0
0.73,12,0.0,False,10.0
0.73,13,0.0,False,1801.0
0.73,14,0.0,False,1646.0
0.73,15,0.0,False,13.0
0.74,0,0.0,False,11.0
0.74,1,0.0,False,3527.0
0.74,2,0.0,False,11.0
0.74,3,0.0,False,2674.0
0.74,4,0.0,False,2054.0
0.74,5,0.0,False,9.0
0.74,6,0.0,False,1564.0
0.74,7,0.0,False,13.0
0.74,8,0.0,False,1587.0
0.74,9,1.0,True,11416.0
0.74,10,0.0,False,2767.0
0.74,11,0.0,False,3280.0
0.74,12,0.0,False,10.0
0.74,13,0.0,False,2257.0
0.74,14,0.0,False,2032.0
0.74,15,0.0,False,17.0
0.745,0,0.0,False,11.0
0.745,1,1.0,True,20691.0
0.745,2,0.0,False,13.0
0.745,3,0.0,False,3032.0
0.745,4,0.0,False,1092.0
0.745,5,0.0,False,9.0
0.745,6,0.0,False,1780.0
0.745,7,0.0,False,13.0
0.745,8,0.0,False,2140.0
0.745,9,0.0,False,1474.0
0.745,10,0.0,False,2846.0
0.745,11,0.0,False,3550.0
0.745,12,0.0,False,10.0
0.745,13,0.0,False,2448.0
0.745,14,0.0,False,2371.0
0.745,15,0.0,False,17.0
0.75,0,0.0,False,11.0
0.75,1,0.0,False,4078.0
0.75,2,0.0,False,13.0
0.75,3,0.0,False,3213.0
0.75,4,0.0,False,1402.0
0.75,5,0.0,False,9.0
0.75,6,0.0,False,1812.0
0.75,7,0.0,False,13.0
0.75,8,0.0,False,2132.0
0.75,9,0.0,False,1683.0
0.75,10,0.0,False,2963.0
0.75,11,0.0,False,3717.0
0.75,12,0.0,False,10.0
0.75,13,0.0,False,2649.0
0.75,14,0.0,False,2469.0
0.75,15,0.0,False,17.0
0.755,0,0.0,False,11.0
0.755,1,1.0,True,20818.0
0.755,2,0.0,False,13.0
0.755,3,0.0,False,3711.0
0.755,4,0.0,False,1379.0
0.755,5,0.0,False,9.0
0.755,6,0.0,False,1977.0
0.755,7,0.0,False,13.0
0.755,8,0.0,False,2196.0
0.755,9,1.0,True,18367.0
0.755,10,0.0,False,3171.0
0.755,11,1.0,True,22859.0
0.755,12,0.0,False,10.0
0.755,13,0.0,False,2680.0
0.755,14,0.0,False,2739.0
0.755,15,0.0,False,2768.0
0.76,0,0.0,False,11.0
0.76,1,1.0,True,24067.0
0.76,2,0.0,False,13.0
0.76,3,0.0,False,3910.0
0.76,4,0.0,False,1468.0
0.76,5,0.0,False,9.0
0.76,6,0.0,False,2230.0
0.76,7,0.0,False,13.0
0.76,8,0.0,False,2171.0
0.76,9,1.0,True,16729.0
0.76,10,0.0,False,3255.0
0.76,11,1.0,True,23446.0
0.76,12,0.0,False,10.0
0.76,13,0.0,False,2876.0
0.76,14,0.0,False,2859.0
0.76,15,0.0,False,2723.0
0.77,0,0.0,False,11.0
0.77,1,1.0,True,25834.0
0.77,2,0.0,False,13.0
0.77,3,0.0,False,3929.0
0.77,4,0.0,False,1733.0
0.77,5,0.0,False,9.0
0.77,6,0.0,False,2409.0
0.77,7,0.0,False,13.0
0.77,8,0.0,False,2741.0
0.77,9,0.0,False,2558.0
0.77,10,0.0,False,3915.0
0.77,11,1.0,True,28804.0
0.77,12,0.0,False,10.0
0.77,13,0.0,False,3225.0
0.77,14,0.0,False,3166.0
0.77,15,0.0,False,3126.0
0.78,0,0.0,False,11.0
0.78,1,1.0,True,29115.0
0.78,2,0.0,False,13.0
0.78,3,0.0,False,4711.0
0.78,4,0.0,False,2044.0
0.78,5,0.0,False,9.0
0.78,6,0.0,False,2658.0
0.78,7,0.0,False,1636.0
0.78,8,0.0,False,3209.0
0.78,9,0.0,False,3177.0
0.78,10,0.0,False,4292.0
0.78,11,1.0,True,32891.0
0.78,12,0.0,False,10.0
0.78,13,0.0,False,3540.0
0.78,14,0.0,False,3514.0
0.78,15,0.0,False,3429.0
0.8,0,0.0,False,12.0
0.8,1,1.0,True,39013.0
0.8,2,0.0,False,13.0
0.8,3,0.0,False,6174.0
0.8,4,0.0,False,3112.0
0.8,5,0.0,False,10.0
0.8,6,0.0,False,3660.0
0.8,7,0.0,False,3373.0
0.8,8,0.0,False,4256.0
0.8,9,0.0,False,4144.0
0.8,10,0.0,False,5514.0
0.8,11,1.0,True,38172.0
0.8,12,1.0,True,30157.0
0.8,13,0.0,False,4366.0
0.8,14,1.0,True,31880.0
0.8,15,0.0,False,4034.0
0.825,0,0.0,False,12.0
0.825,1,1.0,True,55509.0
0.825,2,0.0,False,14.0
0.825,3,0.0,False,8011.0
0.825,4,0.0,False,4221.0
0.825,5,0.0,False,10.0
0.825,6,0.0,False,4466.0
0.825,7,0.0,False,4586.0
0.825,8,0.0,False,5402.0
0.825,9,1.0,True,28792.0
0.825,10,0.0,False,7406.0
0.825,11,1.0,True,50366.0
0.825,12,1.0,True,37319.0
0.825,13,0.0,False,5809.0
0.825,14,1.0,True,39933.0
0.825,15,1.0,True,19463.0
0.85,0,1.0,True,39576.0
0.85,1,1.0,True,72455.0
0.85,2,1.0,True,34376.0
0.85,3,1.0,True,54001.0
0.85,4,0.0,False,5820.0
0.85,5,0.0,False,11.0
0.85,6,0.0,False,6198.0
0.85,7,0.0,False,5997.0
0.85,8,0.0,False,7197.0
0.85,9,1.0,True,37012.0
0.85,10,1.0,True,49643.0
0.85,11,1.0,True,69003.0
0.85,12,1.0,True,51807.0
0.85,13,0.0,False,7538.0
0.85,14,1.0,True,50026.0
0.85,15,1.0,True,25737.0
0.9,0,1.0,True,79886.0
0.9,1,1.0,True,102118.0
0.9,2,1.0,True,65584.0
0.9,3,1.0,True,97478.0
0.9,4,1.0,True,52747.0
0.9,5,1.0,True,48497.0
0.9,6,0.0,False,10682.0
0.9,7,1.0,True,50752.0
0.9,8,1.0,True,59819.0
0.9,9,1.0,True,71391.0
0.9,10,1.0,True,90766.0
0.9,11,1.0,True,100782.0
0.9,12,1.0,True,76723.0
0.9,13,1.0,True,67631.0
0.9,14,1.0,True,76721.0
0.9,15,1.0,True,68158.0
